page,name,link,thumbnail,rating,date,snippet,images,local_guide
1,yenny kartikawati,https://www.google.com/maps/contrib/103970239425129341056?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUFF74a8HFccWaWJvO2P7d77Y3T3iu0O-c8KeaWkV2kGqb916FK=s120-c-rp-mo-ba3-br100,5.0,sebulan lalu,"Main ke sini ada 2 jenis tiket.
1. Tiket Wahana, 50k per org
2. Tiket Momikuland, 40k per org
Atau ambil tiket terusan (Wahana+Momikuland) 80k per org.

Anak-anak milih ke Momikuland, ada biaya tambahan untuk pendamping 10k per org.

Harga Tiket ke Momikuland sudah termasuk kaos kaki untuk anak. Untuk pendamping bisa bawa kaos kaki dari rumah, atau beli disini. Batas waktu bermain di Momikuland adalah 2 jam.

Boleh bawa makanan dan minuman tapi tidak boleh dibawa masuk ke area bermain. Bisa diletakkan di atas rak sepatu/sandal di area Playground, biar anak mudah ambilnya.","['https://lh5.googleusercontent.com/p/AF1QipM7JIr9D04VB9AUEn9yZYQGwI7IGtTTAkS-2GSU=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMjx_2dv70MXfAxt3-a0Gi3Aipmq0ryl1bQGFZ9=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPCI_Hn4IJTZjGR4jIngfBb_KREmtcAh-DKxMGo=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN38MxnpfLzuyQHY6-lPp8NCF3z-1FAtOVOrh3n=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPz1mZfhzaFyjfoqwYYLLF5si9Zyy7EjnRxDnJQ=w150-h150-k-no-p']",True
1,Safreno,https://www.google.com/maps/contrib/112303386198251704462?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVOEo7g4lnR8mlPvmptYMYoYanK-sEqhTqF9UfGpH7MZXikYPit=s120-c-rp-mo-ba5-br100,5.0,2 bulan lalu,"Waterpark dan playgroundnya sangat luas, parkirannya juga luas. Di area playground ada minimarket, toko souvenir, makanan, dan oleh2. Ruang tunggu juga luas dan bersih. Harga tiket standar, tidak kemahalan.","['https://lh5.googleusercontent.com/p/AF1QipNT2ti_9rfUF1RiByL0WD4DugT42zOr9FuzLfYt=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMNaM061M-TWWwXCTQXkTpLQGhOH1vMxd_E9l7v=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMZu9U3k_q7Q5q8qsJYyDYpkx2GJmvHUNifQn_n=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipO54A_EfRbJJUcGlDEMI0lE-qDDgLPVmlEbbTv2=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipONJICE5hssdWbgSX6XAxjFmPw73zIxOM6Birbs=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMHxCh144gJ9Hxhu3u4HtRYVID94jG0ELW2VyYs=w150-h150-k-no-p']",True
1,alvi aziza,https://www.google.com/maps/contrib/111741364048531037931?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjX8hE2pndgbNB0qQG-uY3mx8-p7IE4q8UWxH0OnooHSdNc7O5nx=s120-c-rp-mo-ba4-br100,5.0,5 bulan lalu,"Seru murah meriah hore. Bersih dan rapi banget banget banget.. kebanggaan Bojonegoro tuban dan sekitarnya. Tiket anak anak 40.000 udah free kaos kaki. Untuk pendamping sekitar 15000 , luas banget dan banyak sekali tema permainan mulai dari activity , role play, sampai motorik. Prosotan nya banyak banget dan aktraktif. Kesini pas weekend tapi Alhamdulillah nggak begitu rame, jadi masih bisa menikmati permainan dengan nyaman. Karena area yg sangat luas jadi cukup menguras energi untuk anak anak.","['https://lh5.googleusercontent.com/p/AF1QipOL52BVpExLoLJd6CL652UAElJnPDE7HoisqZWu=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMHeeBNaOHM3SCHBHthfFZU9XCmH0Sqy2dLFFG8=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNc-xeD243uC9v4JG8Cj-cvvg-CEN4K2OQCNbbn=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN5xxufLlI9okY6mkyPTdBqcGbjHoUbOo96YPIP=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNOVoaPt5KXQqBdPk3_To84lraHeoL2QjzK74NP=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPGNnHrkOdebaj5c7D3cUSeJLDUtuIGX4ZSsVQx=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNnNJt_9hGRrlq9B3rL1XRz_jphXbALT2VVpeTV=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMkMIc6T629CckrIzuhqdAdmIXX6Vd33H_dzdMf=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNmSEEEApaBFugBZVbIFlkPVI6GT10L-MsNkQyu=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNj9JG7hc-tWoFFtro63jhxInuNSqON4XHQ0Ku_=w150-h150-k-no-p']",True
1,shanum malayeka,https://www.google.com/maps/contrib/106647926412783243562?hl=id,https://lh3.googleusercontent.com/a/ACg8ocI_9EzEAQkKGAH6eb9ZYeDjfYw0nvZpFp2wcGFxNA0_JC5Wow=s120-c-rp-mo-ba3-br100,5.0,2 bulan lalu,"Destinasi liburan tiap minggu nih, seru banget, lokasinya deket rumah lagi, tempatnya adem dan wahana bermainnya banyaaakkkk bangetttt😅","['https://lh5.googleusercontent.com/p/AF1QipOPyUBYma1qWQsezTvZRExLnK8KWVYtUE4JoW4-=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPFQ7hoGrQdU1E_QXn5haG4zYWvUAViOJmjetCk=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPDOeECl-N8CL4vsq7Uzb7Xzt9N-wVMAppzes9g=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPBr5Iiw06OT5F7ZVNslOMLvCVJUd6jDc1ryQpA=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN-90wpGELAH9va8TLaQuSplcxP9wHavA0xRpmT=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNp9GcV-xzlz0QPqggEBI-qgR2SjkjMCBoeO6vA=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPy7zC8cwZbVHPbdOygEFiD8NpPogdHjK_w9j8i=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMG_sNxbeTJb3UGNZ1YWclQkf9jd0D8FC8iqonX=w150-h150-k-no-p']",True
1,Adi Yulianto Rahadian,https://www.google.com/maps/contrib/109950926581292633631?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXr1Ese5eyUQVte8WyCf9Ww9nYSDJtrl1tCp7eoAvm9mmCJiYE=s120-c-rp-mo-ba4-br100,4.0,11 bulan lalu,"Tempat bermain yang cocok untuk anak anak, tempatnya tidak terlalu luas saat kita sudah masuk di dalamnya. Banyak pilihan mainan bagi anak anak, karena menurut yang saya lihat permainannya kurang cocok untuk orang dewasa. Untuk harag tiket masuk 15k untuk yang biasa nanti kita harus bayar lagi kalau mau naik wahana atau permainan di dalam harga bervariasi dari 5k, 10k hingga 20k tergantung wahana atau permainan apa, dan ada juga tiket terusan 60k bisa main sepuasnya. Menurut saya untuk dewasa tiket biasa saja hehehehe, toilet bersih ada mushola, tempat parkir luas lagi.","['https://lh5.googleusercontent.com/p/AF1QipMs8etiBB20XxsUxvqM9o3hnm-espUbr1gU-98k=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMHhNoa5QiMR2djMbxuHycu7XZJNCcvVKbh2JSH=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNZZNRDnnJyOYGS1LA_PU2PVw3bg-uIjGlfSju2=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOUk8_ghC_mwplVymPhFat0hp_j9MSeMrOXJwoE=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMvFwxr7VHEiB9TVZB47uLmxum1KllBxkSxJePx=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPDoe2VxjbkgMokiTgrWaYRymXzcljhzq9BA-32=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNsmHQ3-CwB-9liaCwuUabpRZd-FicHDs_idBoq=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPfD4FRTBHfP0UzcDWBbi_medGUxpDCSu4mxPDb=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNTUxsW4RSHCFKXiTL7MJ1K44ahOuxH037bEfu2=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOZcZz0EgF6Cks6cJYTnMAHFiOehn1J-WiS1EUB=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNpph9DYq9aIG_EkQfrNVsCyH2acjqZGypYSbjw=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOoMEFLEt7vR8y5gtiRRK8gO2TRXVVZaCsdTVgg=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPfJRhgGGzJ03T3uSBZxaNeh-1Dkwxg6sLYkE0L=w150-h150-k-no-p']",True
1,choirul anam,https://www.google.com/maps/contrib/114834022176827276222?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVCIrPeTSr0KS9x8iiLfv1sm7c0K4y-HXK4igP4QvrSqh8u7T7R=s120-c-rp-mo-ba4-br100,4.0,seminggu lalu,"Tempat lumayan nyaman buat bermain anak2, khususnya di Momikuland
Untuk harga tiket 40k/anak dan 10k/pendamping (untuk durasi 2 jam)
Tp mohon untuk pengelola di cek untuk fasilitas penunjang yang lain, saat saya ke sana, TOILET nya gak ada airnya.",,True
1,Zeero. 06,https://www.google.com/maps/contrib/108059542741711630720?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXcGp8efPH-yvtUTugqjsipAAVELFF6uphzY_-AmBmuapLUwd5D=s120-c-rp-mo-br100,2.0,2 minggu lalu,"Tempatnya berdebu, ada beberap cafe dan tempat sewa yang ditutup, mungkin karena pengunjungnya berkurang kali ya?
Ada beberapa patung dan hiasan lainnya yang copot juga. Lalu wahananya rata² pelan, jadinya kurang seru. Jika memang wahananya dibuat untuk semua usia termasuk anak-anak, TOLONG, LAGU yang dinyanyikan di PANGGUNG JANGAN berbau 18+!!! itu jorok banget.
Saya tahu itu untuk hiburan ibu-ibu atau bapak-bapak yang mendampingi anak-anaknya. Tapi disini mereka juga bawa anak-anak yang di bawah umur. Jadi tolong diperbaiki dan mending DIGANTI aja host yang nyanyi di panggung. Kalau memang lagunya mau dangdut, tolong jangan yang berbau 18+. Minggu lalu saya berkunjung, lagu yang dibawakan terdapat lirik ""esek-esek"", saya ulangi itu sangat JOROK. Pantaskah lagu ini didengar oleh anak-anak? tolong adab nya diperbaiki. Saya lihat ada beberapa remaja laki-laki yang ikut naik ke panggung sambil berjoget yang tidak senonoh, dan ada anak-anak sekitar umur 1-2 tahun yang ikut nonton. Miris sekali.

Mungkin itu masukkan dari saya. Semoga kedepannya bisa diperbaiki, terutama lagu-lagu nya.
Terima kasih.",,
1,Je Group,https://www.google.com/maps/contrib/101135062561851151660?hl=id,https://lh3.googleusercontent.com/a/ACg8ocKaTHFOOt3pTk279Uw3qH7ip2Io6cXoIVcK5dBaXh0rVey6Rw=s120-c-rp-mo-ba4-br100,5.0,6 bulan lalu,Sanagt bagus biat edukasi anak tapi tetep harus dalam pengawasan karena ada beberapa arena yg butuh pengawasan orang tua,"['https://lh5.googleusercontent.com/p/AF1QipNSozdjXhBZ_voJ2AAEyeMq0snbIJqAtKCQdcQO=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPIiD8A6JHdVSnjnppjfzx7GfqerYui1Ur7TIiV=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNxxDeMuLWSJqjilu5Bz93iSda7vu_9utsoV0KY=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNmNuIYEhLSGV9YIKPIxg4SQPmdX2-DtWnaZmNV=w150-h150-k-no-p']",True
2,Teddy Setiawan,https://www.google.com/maps/contrib/103547111787020706364?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVwhObfQbsgn7MbDQ9zPTWnyMkBEaJgc205-1EgqOVE2TJ97emN=s120-c-rp-mo-br100,5.0,sebulan lalu,"Tempat masih baru jadi mainan dan lain2 masih fresh. Tempat nya juga luas dan permainan lengkap. Ruang tunggu juga luas disediakan ruang merokok dan bisa tunggu di dalam, disediakan colokan listrik.

Sebelum datang pastikan orang tua atau yang mendampingi bawa kaos kaki, kalau ngak harus beli kalau gak salah 10rb

Harga termasuk murah untuk tempat yang lumayan luas dan lengkap, 45rb/anak

Selain playground juga lumayan banyak spot foto dan stand yang jualanan makanan/minuman

Kesan 9/10",,
2,Alifa Amira,https://www.google.com/maps/contrib/109331018177521245152?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUqiluumjC0447nn2jLLpRn_15VCINm2LHYyF4r0VkIv2eT3pH51Q=s120-c-rp-mo-br100,1.0,2 minggu lalu,"Tolong untuk SDMnya ketika liburan ditambah, karena ketika di flying fox saya sudah antri sebelum ada rombongan anak2 sekitar 20 anak dan ibu2 masuk. Malah anak saya ikut diantrikan ke rombongan dan disuruh nunggu setelah rombongan selesai bermain. Alasannya krn SDMnya kurang. Whaatt?? Saya datang duluan tapi saya yang disuruh antri nunggu rombongan selesai main. Jadinya anak ya gak jadi main lah, disuruh antri sekitar 20 anak, karena kami juga ada keterbatasan waktu krn datang dri luar kota. Mohon untuk lebih adil dalam hal antrian. Kasihan anak saya gak kd main flying fox 😢",,
2,Aditya Irvan Kurniawan,https://www.google.com/maps/contrib/107416635860419345321?hl=id,https://lh3.googleusercontent.com/a/ACg8ocIVPmYDXQoORKnQG5osnsiNPGuC8NPGeychmS7LKJieXRfB3Ko=s120-c-rp-mo-br100,1.0,seminggu lalu,"Bayar via qris bri kena 0.7% dibebankan ke customer. Lalu uang sudah terpotong di rekening tetapi pihak gofun belum menerima, saya disuruh untuk bayar kembali pakai tunai. Jadi total saya bayar dua kali. Tidak rekomen.",,True
